node   1  (   0,    0) (  13,    3) (  35,    4) (  33,    9) (  28,    8) (  67,   44) (  93,   74) (  95,   82) ( 100,   92) (  72,   91)
          (  65,   84) ( 109,   88) (  74,  101) (  88,   72) (  86,   80) (  97,   78) (  59,   67) ( 107,   72) (  90,   82) (  59,   85)
          ( 111,   79) (  82,   67) ( 101,   79) (  72,   65) ( 100,   95) (  34,   77) (  97,   72) ( 102,   82) (  90,   75) (  84,   65)
          (  56,   98) ( 113,   93) (  87,   80) (  79,   81) (  92,  108) (  95,   74) (  89,   82) (  60,   94) ( 119,   89) (  80,   79)
          (  97,   83) (  63,   83) (  82,   98) ( 114,   99) (  81,   77) (  71,   89) (  88,   80) (  74,   76) ( 105,   96) (  83,  100)
          (  76,   71) (  93,   96) (  64,   77) (  65,   81) (  97,   89) (  81,   75) (  70,   84) (  84,   89) (  46,   51) ( 106,   83)
          (  46,   72) (  94,   96) (  77,   60) (  72,   62) (  75,   70) ( 101,   88) (  68,   85) (  70,   87) (  80,   82) (  76,   78)
          (  67,   88) (  76,   65) (  69,   76) (  72,   66) (  97,   80) (  57,   78) (  73,   68) (  92,   81) (  73,   66) (  72,   74)
          (  87,   80) (  75,   73) (  72,   80) (  78,   68) (  97,   86) (  57,   76) ( 101,   76) (  66,   72) (  50,   62) ( 103,   63)
          (  61,   78) (  80,   79) (  54,   65) (  77,   72) (  96,   60) (  61,   77) (  56,   76) (  93,   63) (  67,   78) (  71,   76)
          (  60,   63) (  93,   95) (  76,   74) (  56,   61) ( 101,   74) (  40,   63) (  86,   54) (  61,   45) (  66,   63) (  74,   55)
          (  87,   73) (  52,   56) (  63,   51) (  72,   67) (  84,   63) (  74,   52) (  57,   64) (  69,   65) (  74,   52) (  68,   58)
          (  59,   61) (  67,   47) (  35,   45) (  99,   78) (  54,   73) (  51,   53) (  64,   61) (  79,   65) (  61,   60) (  42,   62)
          (  85,   57) (  46,   51) (  60,   65) (  66,   43) (  52,   61) (  54,   63) (  78,   67) (  62,   75) (  65,   42) (  61,   45)
          (  59,   69) (  72,   46) (  41,   65) (  69,   43) (  71,   64) (  49,   68) (  74,   60) (  31,   60) (  68,   70) (  59,   74)
          (  72,   58) (  56,   62) (  72,   61) (  51,   54) (  67,   74) (  37,   54) (  73,   67) (  54,   65) (  66,   66) (  65,   53)
          (  34,   51) (  77,   55) (  53,   56) (  64,   49) (  62,   53) (  57,   64) (  55,   55) (  78,   63) (  45,   74) (  60,   57)
          (  99,   68) (  51,   57) (  46,   70) (  56,   51) (  67,   68) (  55,   75) (  70,   73) (  57,   64) (  66,   69) (  63,   57)
          (  56,   61) (  73,   66) (  53,   69) (  42,   56) (  74,   75) (  69,   62) (  36,   61) (  47,   63) (  69,   66) (  72,   63)
          (  77,   60) (  38,   54) (  69,   72) (  70,   69) (  64,   55) (  59,   53) (  72,   59) (  54,   54) (  68,   70) (  47,   52)
          (  67,   66) (  60,   65) (  59,   44) (  77,   69) (  67,   74) (  70,   67) (  52,   70) (  67,   56) (  49,   54) (  57,   52)
          (  66,   59) (  68,   54) (  59,   48) (  60,   59) (  64,   57) (  44,   59) (  81,   63) (  48,   53) (  40,   65) (  64,   53)
          (  63,   54) (  57,   43) (  71,   57) (  59,   63) (  68,   62) (  67,   58) (  64,   50) (  76,   75) (  56,   55) (  50,   66)
          (  50,   56) (  78,   63) (  36,   47) (  62,   55) (  65,   63) (  57,   57) (  67,   67) (  61,   60) (  52,   59) (  68,   65)
          (  37,   58) (  66,   91) (  48,   57) (  93,   72) (  35,   50) (  54,   55) (  73,   63) (  60,   54) (  71,   62) (  34,   50)
          (  77,   57) (  48,   53) (  63,   63) (  63,   62) (  50,   59) (  80,   75) (  60,   57) (  51,   55) (  49,   64) (  68,   66)
          (  59,   62) (  64,   70) (  71,   70) (  70,   59) (  47,   42) (  61,   52) (  52,   62) (  86,   63) (  35,   57) (  73,   61)
          (  59,   41) (  46,   69) (  78,   64) (  65,   58) (  48,   67) (  53,   61) (  88,   52) (  40,   56) (  83,   65) (  46,   68)
          (  61,   58) (  60,   60) (  56,   72) (  42,   49) (  67,   80) (  55,   57) (  70,   62) (  55,   45) (  58,   73) (  65,   67)
